cars,pos_x,near_to,distance,signal_strength
Car-1,-34.7,Tower-1,9.491575211733826,Medium
Car-1,-34.400000000000006,Tower-1,9.34665715643834,Medium
Car-1,-34.10000000000001,Tower-1,9.20923449587424,Medium
Car-1,-33.80000000000001,Tower-1,9.079647570252938,Medium
Car-1,-33.500000000000014,Tower-1,8.958236433584464,Medium
Car-1,-33.20000000000002,Tower-1,8.845337754998399,Medium
Car-1,-32.90000000000002,Tower-1,8.741281370600085,Medium
Car-1,-32.60000000000002,Tower-1,8.646386528486921,Medium
Car-1,-32.300000000000026,Tower-1,8.560957890329803,Medium
Car-1,-32.00000000000003,Tower-1,8.485281374238577,Medium
Car-1,-31.700000000000028,Tower-1,8.419619943916715,Medium
Car-1,-31.400000000000027,Tower-1,8.364209466530598,Medium
Car-1,-31.100000000000026,Tower-1,8.319254774317232,Medium
Car-1,-30.800000000000026,Tower-1,8.284926070883195,Medium
Car-1,-30.500000000000025,Tower-1,8.261355820929154,Medium
Car-1,-30.200000000000024,Tower-1,8.248636250920512,Medium
Car-1,-29.900000000000023,Tower-1,8.246817568007673,Medium
Car-1,-29.600000000000023,Tower-1,8.255906976220116,Medium
Car-1,-29.300000000000022,Tower-1,8.275868534480232,Medium
Car-1,-29.00000000000002,Tower-1,8.306623862918073,Medium
Car-1,-28.70000000000002,Tower-1,8.348053665376137,Medium
Car-1,-28.40000000000002,Tower-1,8.399999999999995,Medium
Car-1,-28.10000000000002,Tower-1,8.462269199216008,Medium
Car-1,-27.80000000000002,Tower-1,8.534635317340742,Medium
Car-1,-27.500000000000018,Tower-1,8.616843969807038,Medium
Car-1,-27.200000000000017,Tower-1,8.708616422830891,Medium
Car-1,-26.900000000000016,Tower-1,8.809653795694805,Medium
Car-1,-26.600000000000016,Tower-1,8.919641248391097,Medium
Car-1,-26.300000000000015,Tower-1,9.03825204339865,Medium
Car-1,-26.000000000000014,Tower-1,9.165151389911674,Medium
Car-1,-25.700000000000014,Tower-1,9.299999999999994,Medium
Car-1,-25.400000000000013,Tower-1,9.442457307290296,Medium
Car-1,-25.100000000000012,Tower-1,9.592184318495963,Medium
Car-1,-24.80000000000001,Tower-1,9.748846085563146,Medium
Car-1,-24.50000000000001,Tower-1,9.9121138007995,Medium
Car-1,-24.20000000000001,Tower-1,10.081666528902842,Weak
Car-1,-23.90000000000001,Tower-1,10.25719259836725,Weak
Car-1,-23.60000000000001,Tower-1,10.438390680559905,Weak
Car-1,-23.300000000000008,Tower-1,10.62497058819458,Weak
Car-1,-23.000000000000007,Tower-1,10.816653826391963,Weak
Car-1,-22.700000000000006,Tower-1,11.013173929435597,Weak
Car-1,-22.400000000000006,Tower-1,11.214276615100944,Weak
Car-1,-22.100000000000005,Tower-1,11.419719786404565,Weak
Car-1,-21.800000000000004,Tower-1,11.629273408085302,Weak
Car-1,-21.500000000000004,Tower-1,11.842719282327009,Weak
Car-1,-21.200000000000003,Tower-1,12.059850745345067,Weak
Car-1,-20.900000000000002,Tower-1,12.280472303620897,Weak
Car-1,-20.6,Tower-1,12.504399225872467,Weak
Car-1,-20.3,Tower-2,12.613088440187836,Weak
Car-1,-20.0,Tower-2,12.36931687685298,Weak
Car-1,-19.7,Tower-2,12.128066622508303,Weak
Car-1,-19.4,Tower-2,11.889491158161478,Weak
Car-1,-19.099999999999998,Tower-2,11.653754759733017,Weak
Car-1,-18.799999999999997,Tower-2,11.421033228215386,Weak
Car-1,-18.499999999999996,Tower-2,11.191514642799692,Weak
Car-1,-18.199999999999996,Tower-2,10.965400129498235,Weak
Car-1,-17.899999999999995,Tower-2,10.742904635153376,Weak
Car-1,-17.599999999999994,Tower-2,10.52425769353829,Weak
Car-1,-17.299999999999994,Tower-2,10.309704166463746,Weak
Car-1,-16.999999999999993,Tower-2,10.099504938362074,Weak
Car-1,-16.699999999999992,Tower-2,9.893937537704586,Medium
Car-1,-16.39999999999999,Tower-2,9.693296652842102,Medium
Car-1,-16.09999999999999,Tower-2,9.497894503520236,Medium
Car-1,-15.79999999999999,Tower-2,9.308061022576071,Medium
Car-1,-15.49999999999999,Tower-2,9.124143795447324,Medium
Car-1,-15.199999999999989,Tower-2,8.94650769853801,Medium
Car-1,-14.899999999999988,Tower-2,8.77553417177552,Medium
Car-1,-14.599999999999987,Tower-2,8.611620056644387,Medium
Car-1,-14.299999999999986,Tower-2,8.455175929571181,Medium
Car-1,-13.999999999999986,Tower-2,8.306623862918068,Medium
Car-1,-13.699999999999985,Tower-2,8.166394553289713,Medium
Car-1,-13.399999999999984,Tower-2,8.03492377064026,Medium
Car-1,-13.099999999999984,Tower-2,7.9126481028793325,Medium
Car-1,-12.799999999999983,Tower-2,7.799999999999994,Medium
Car-1,-12.499999999999982,Tower-2,7.697402159170321,Medium
Car-1,-12.199999999999982,Tower-2,7.605261336732612,Medium
Car-1,-11.89999999999998,Tower-2,7.523961722390666,Medium
Car-1,-11.59999999999998,Tower-2,7.453858061433685,Medium
Car-1,-11.29999999999998,Tower-2,7.395268757793725,Medium
Car-1,-10.999999999999979,Tower-2,7.348469228349531,Medium
Car-1,-10.699999999999978,Tower-2,7.3136858012906165,Medium
